pulocationid,diff_lm,diff_rf,total_trips,average_diff_lm,average_diff_rf
240,1.2047588839647125,12.589822831496141,18,0.0669310491091507,0.6994346017497857
241,-110.87802810091371,-111.114569577105,238,-0.46587406765089795,-0.46686793939960086
242,385.91147681131054,-82.03757035032919,400,0.9647786920282764,-0.20509392587582298
243,-218.08321666321012,-269.60257205135076,639,-0.3412882889878093,-0.4219132582963236
244,-1770.2260456901183,-1955.3279857798163,4885,-0.3623799479406588,-0.4002718496990412
245,-2.0075915955848247,-1.9056680013339742,2,-1.0037957977924123,-0.9528340006669871
246,-4554.187190054184,-4645.2653655609965,138258,-0.032939773395059845,-0.03359852858829866
247,-199.76680905794785,-272.67713694178804,493,-0.4052065092453303,-0.5530976408555538
248,-17.586738089857846,-41.56672776503511,124,-0.14182853298272458,-0.33521554649221863
249,4525.66671240227,6014.081284998628,208996,0.021654322151630986,0.028776059278639916
250,121.04274129205811,-21.269979434076088,165,0.7335923714670188,-0.1289089662671278
251,-11.209553045402462,-9.941608632764531,3,-3.736517681800821,-3.313869544254844
252,-77.57794486477583,-31.99159941598665,55,-1.4105080884504697,-0.58166544392703
253,-16.272106934247162,-3.926956192634832,14,-1.1622933524462258,-0.28049687090248804
254,-437.51792742288274,-79.8208864077691,413,-1.0593654417018952,-0.19327091139895664
255,-279.2870620046385,-468.9058444089338,2969,-0.09406772044615647,-0.15793393210135864
256,-174.44556487884157,-412.62043127205715,2482,-0.07028427271508524,-0.1662451374988143
257,5.196851482560935,-37.68731464374007,90,0.057742794250677056,-0.41874794048600084
258,83.3021448695859,-36.48959255402247,136,0.6125157710998963,-0.2683058276031064
259,-180.19081699518114,-74.34802600343262,146,-1.234183678049186,-0.5092330548180316
260,183.9333447739109,-14.626855781931582,993,0.18522995445509657,-0.014729965540716598
261,3873.977660721912,1377.8476596513322,43744,0.0885602062162105,0.031497980515072514
262,-9267.218891354818,-6540.745868161599,124496,-0.07443788468187587,-0.052537799352281186
263,-20942.130888100746,-16431.030644973205,202192,-0.10357546731869088,-0.081264494366608
